Audio Test:
center: 637.9289
center: 4027.347
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: 1161.8999
center: 105139.23
center: 1358.9448
center: 892.5615
center: 2260.65
center: 1107.7091
center: 170.60666
center: 2300.7803
center: 987.9872
center: 89.85326
center: 135.57477
center: 2423.6494
center: 843.7888
center: 2348.6252
center: 330.20633
center: 1851.1389
center: 1237.345
center: 1023.59955
center: 1302.2617
center: 2779.6648
center: 354.6044
center: 509.48483
center: 2377.6167
center: 1876.2759
center: 1918.5946
center: 1391.6147
center: 2707.9502
center: 752.9018
center: 3187.3745
center: 2869.126
center: 5193.3364
center: 70.19446
center: 273.9206
center: 276.0692
center: 3269.9712
center: 1701.6759
center: 1131.254
center: 994.9833
center: 2480.564
center: 2228.843
center: 2151.8235
center: 1375.6486
center: 378.76782
center: 58.56343
center: 535.1102
center: 704.05774
center: 1049.728
center: 2519.3691
center: 3385.6526
center: 3957.8855
center: 4754.4434
center: 43.17607
center: 1963.65
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: 1121.8591
center: 3014.0725
center: 3388.4263
center: 792.8876
center: 154.16129
center: 2378.1804
center: 85.2204
center: 166.37509
center: 2521.1577
center: 415.94843
center: 2161.8943
center: 616.03595
center: 7650.4023
center: 122.93094
center: 1850.946
center: 2078.6584
center: 335.71027
center: 2317.7039
center: 4042.0342
center: 1898.307
center: 1838.5259
center: 176.44273
center: 625.3767
center: 1927.7709
center: 639.6147
center: 312.7572
center: 1946.7892
center: 647.61426
center: 3277.1233
center: 466.34064
center: 1108.7056
center: 4496.6587
center: 159.33643
center: 809.46796
center: 1009.162
center: 388.80566
center: 1178.3425
center: 748.15216
center: 319.1537
center: 362.24866
center: 3914.8008
center: 757.17474
center: 797.702
center: 9607.199
center: 1434.6464
center: 631.1357
center: 2396.3643
center: 2317.1404
center: 3770.143
center: 440.52762
center: 86.75669
center: 2688.924
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
center: NaN
